Season,Team,G,Date,Home,Opp,W/L,Team_pts,Opp_pts,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2019,BRK,33,2018-12-19,A,CHI,W,96,93,34,74,.459,8,25,.320,20,25,.800,7,45,23,3,2,13,14,40,91,.440,6,19,.316,7,10,.700,9,39,21,7,5,8,22
2019,BRK,34,2018-12-21,H,IND,L,106,114,33,72,.458,16,31,.516,24,34,.706,11,41,28,5,3,20,23,44,82,.537,11,26,.423,15,18,.833,6,29,24,10,8,11,26
2019,BRK,35,2018-12-23,H,PHO,W,111,103,40,85,.471,10,27,.370,21,33,.636,14,49,25,7,4,17,15,43,89,.483,3,17,.176,14,16,.875,10,41,24,10,5,12,27
2019,BRK,36,2018-12-26,H,CHO,W,134,132,51,104,.490,19,47,.404,13,18,.722,10,57,31,8,7,17,26,47,106,.443,15,31,.484,23,30,.767,12,53,26,8,3,13,20
2019,BRK,37,2018-12-28,A,CHO,L,87,100,33,83,.398,4,27,.148,17,20,.850,9,48,15,4,10,14,20,41,100,.410,11,33,.333,7,10,.700,12,49,19,4,8,8,22
2019,BRK,38,2018-12-29,A,MIL,L,115,129,38,79,.481,15,35,.429,24,35,.686,5,40,28,6,3,14,17,47,96,.490,21,51,.412,14,16,.875,5,39,30,6,5,10,22
2019,BRK,39,2019-01-02,H,NOP,W,126,121,47,93,.505,16,31,.516,16,21,.762,12,43,27,7,5,10,23,46,87,.529,10,23,.435,19,27,.704,10,41,19,7,5,12,20
2019,BRK,40,2019-01-04,A,MEM,W,109,100,36,79,.456,13,34,.382,24,26,.923,8,45,25,6,2,20,19,42,93,.452,5,24,.208,11,15,.733,8,40,23,9,5,13,24
2019,BRK,41,2019-01-06,A,CHI,W,117,100,42,83,.506,16,46,.348,17,22,.773,6,38,29,6,3,9,16,41,88,.466,7,18,.389,11,15,.733,11,44,20,6,4,12,15
2019,BRK,42,2019-01-07,A,BOS,L,95,116,32,79,.405,11,42,.262,20,22,.909,9,47,19,5,4,23,16,47,93,.505,12,32,.375,10,12,.833,6,43,37,13,2,13,21
2019,BRK,43,2019-01-09,H,ATL,W,116,100,43,95,.453,10,30,.333,20,26,.769,18,54,21,10,9,18,28,36,99,.364,6,35,.171,22,25,.880,18,52,17,8,6,19,24
2019,BRK,44,2019-01-11,A,TOR,L,105,122,37,88,.420,11,30,.367,20,30,.667,9,54,20,4,4,17,21,48,105,.457,11,35,.314,15,24,.625,13,55,32,10,4,9,22
2019,BRK,45,2019-01-14,H,BOS,W,109,102,37,86,.430,13,38,.342,22,25,.880,13,55,18,5,7,17,20,37,91,.407,11,36,.306,17,23,.739,10,41,21,10,8,10,21
